STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090401 23:00,0.07, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090402 01:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090402 02:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 05:00,0.02, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 06:00,0.02, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 07:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 08:00,0.06, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 09:00,0.17, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 10:00,0.09, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 11:00,0.05, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 12:00,0.04, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 13:00,0.41, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 14:00,0.03, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 16:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 17:00,0,T, 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090403 20:00,0.01, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090406 08:00,0.1, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090406 09:00,0.05, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090406 11:00,0.08, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090406 12:00,0.08, , 
COOP:305801,NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20090406 13:00,0.05, , 
