Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
1,1,0,0,6,2015,21706,989196.5879,220016.9842,BROADWAY,WEST 62 STREET
1,1,0,0,6,2015,18984,997020.6697,188326.691,PUTNAM AVENUE,BEDFORD AVENUE
1,0,0,1,6,2015,39708,1051908.757,191996.4671,LINDEN BOULEVARD,196 STREET
1,1,0,0,6,2015,22760,993760.1939,217188.8665,EAST 61 STREET,3 AVENUE
1,1,0,0,6,2015,44165,1008091.494,243026.0288,MORRIS AVENUE,EAST 168 STREET
1,1,0,0,6,2015,11259,962923.856,171635.3471,BAY STREET,VICTORY BOULEVARD
1,0,0,1,6,2015,40507,1060282.018,188318.5447,BROOKVILLE BOULEVARD,HOOK CREEK BOULEVARD
1,1,0,0,6,2015,19053,999538.5255,181257.752,BALFOUR PLACE,EMPIRE BOULEVARD
1,1,0,0,6,2015,42277,1006968.779,223920.2245,19 STREET,DITMARS BOULEVARD
1,1,0,0,6,2015,19629,995668.2314,199709.017,METROPOLITAN AVENUE,DRIGGS AVENUE
1,1,0,0,6,2015,44625,1007190.242,253954.2645,UNIVERSITY HEIGHTS BRIDGE APPR,9 AVENUE
1,1,0,0,6,2015,26754,1001077.984,183451.0875,ALBANY AVENUE,LINCOLN PLACE
1,0,1,0,7,2015,14314,980975.9285,184719.92,VAN DYKE STREET,DWIGHT STREET
1,0,0,1,7,2015,40293,1058507.208,190388.1304,119 AVENUE,231 STREET
1,0,1,0,7,2015,18568,990023.3644,188159.3652,4 AVENUE,DEAN STREET
1,0,1,0,7,2015,41382,1001480.736,212490.6509,29 STREET,QUEENS PLAZA NORTH
1,0,0,1,7,2015,36639,1046358.191,182669.9733,159 STREET,NORTH CONDUIT AVENUE
1,0,1,0,7,2015,42529,1001901.099,238191.3734,LENOX AVENUE,WEST 145 STREET
1,1,0,0,7,2015,27106,1007635.865,182049.9289,SUTTER AVENUE,STRAUSS STREET
3,0,0,3,7,2015,59940,1049062.677,210608.2435,210 STREET,64 AVENUE
1,0,0,1,7,2015,3432,937703.1777,153892.5817,RICHMOND HILL ROAD,RICHMOND AVENUE
1,0,0,1,7,2015,34453,1030257.499,198002.3767,PARK LANE,PARK LANE SOUTH
1,1,0,0,7,2015,20571,985648.6258,200082.3692,CANAL STREET,MANHATTAN BR APPROACH
1,1,0,0,7,2015,28950,1015518.185,177617.569,COZINE AVENUE,PENNSYLVANIA AVENUE
1,0,0,1,7,2015,10068,965750.5921,156613.7731,CEDAR AVENUE,JACKSON AVENUE
1,1,0,0,7,2015,27471,1002514.382,192985.4743,BROADWAY,VERNON AVENUE
1,1,0,0,8,2015,46548,1014243.167,212163.2043,74 STREET,37 AVENUE
1,0,0,1,8,2015,36645,1046917.855,182382.4545,SOUTH CONDUIT AVENUE,176 STREET
1,1,0,0,8,2015,7428,953648.2872,144889.3021,MILL ROAD,EBBITTS STREET
1,0,0,1,8,2015,3524,938905.3843,158527.6833,SIGNS ROAD,RICHMOND AVENUE
1,1,0,0,8,2015,27722,1005657.365,190643.7598,BROADWAY,LINDEN STREET
1,0,0,1,8,2015,43795,1004928.278,245384.9082,WEST 169 STREET,OGDEN AVENUE
1,0,0,1,8,2015,11802,977966.299,168616.0158,BAY RIDGE PARKWAY,5 AVENUE
1,0,0,1,8,2015,4870,945022.3763,140982.5875,CRANFORD STREET,AMBOY ROAD
1,0,0,1,8,2015,38735,1050495.423,184246.1611,183 STREET,140 AVENUE
1,1,0,0,8,2015,18274,996149.0671,172510.1153,DITMAS AVENUE,EAST 22 STREET
1,1,0,0,8,2015,21545,989278.3689,218456.3541,WEST 57 STREET,BROADWAY
1,0,0,1,8,2015,36089,1048601.562,178562.3867,RAMP,ROCKAWAY BOULEVARD
1,0,1,0,8,2015,38281,1053181.028,160300.6686,BAYPORT PLACE,AUGUSTINA AVENUE
1,0,1,0,8,2015,13815,980484.6863,175682.2383,48 STREET,3 AVENUE
1,1,0,0,8,2015,30551,1019041.777,197589.9202,69 ROAD,78 STREET
